name,score,coordinates
水上,376.03289762586564,"120.42400360107,23.4375"
乌镇,374.98655947194356,"120.49339294434,30.744937896729"
北海,374.3531133942981,"109.12000274658,21.481300354004"
九龙,374.02822523985776,"101.50700378418,29.000299453735"
大连,362.0688869816082,"121.61499786377,38.914001464844"
开封,361.042500399624,"114.30799865723,34.797199249268"
宏村,357.99896267469535,"117.9845199585,30.005805969238"
龙门石窟,354.76419374622424,"112.47077178955,34.558242797852"
比如,354.4513964608242,"93.67960357666,31.480199813843"
台湾,348.6161510378402,"120.96099853516,23.697799682617"
大同,342.4846229277043,"113.30000305176,40.076801300049"
青海,328.3071602916074,"101.7799987793,36.620899200439"
长沙,321.35346067526797,"112.93900299072,28.228200912476"
澳门,317.0625495526889,"113.54794442654,22.196464876211"
桂林,310.63836703593813,"110.29000091553,25.273599624634"
郑州,307.06507512310554,"113.625,34.746601104736"
韩国,306.13746780584137,"127.99072265625,36.65960622648"
四川,305.8159973815885,"104.07599639893,30.651699066162"
西藏,301.50333154117806,"91.117202758789,29.646900177002"
大名,293.911688650677,"115.14800262451,36.285598754883"
盘山,293.183098022939,"117.276575,40.079334"
亚洲,289.50264793533324,"99.4921875,35.173808318"
河南,287.8578950154061,"113.75399780273,34.76549911499"
首尔,286.54006402268305,"126.97799682617,37.566501617432"
上高,285.7925072820997,"114.92400360107,28.232799530029"
庆源,279.417999252563,"118.00238800049,29.461360931396"
阳朔,265.5884882860693,"110.49700164795,24.778499603271"
东京,265.4902958631996,"139.72791907344,35.702414015871"
三亚,262.87723915421964,"109.5120010376,18.252799987793"
湖北,256.00300143860943,"114.34200286865,30.545900344849"
新加坡,254.7221973742812,"103.85135650635,1.279457554351"
黄河,252.64428438227876,"96.85546875,35.353216101238"
大树,249.56913262698836,"120.42400360107,22.708400726318"
陕西,246.918501172418,"108.95400238037,34.26549911499"
河北,243.86691424631644,"114.46900177002,38.037101745605"
平遥,239.54137926206687,"112.17600250244,37.189601898193"
印度,237.230580791004,"79.8046875,23.07973176245"
福州,232.07074104985,"119.30499225855,26.065881133143"
广东,230.3722936866476,"113.26699829102,23.132200241089"
沈阳,226.40234436787998,"123.43099975586,41.805698394775"
大理,224.89592204167656,"100.2679977417,25.60650062561"
浙江,223.9286737567926,"120.15299987793,30.267400741577"
西宁,223.11044466595462,"101.77799987793,36.617099761963"
江西,222.63287502932045,"115.90899658203,28.67440032959"
丽江,221.68014629048724,"100.22799682617,26.854999542236"
安徽,218.10240432078476,"117.28500366211,31.861200332642"
泸沽湖,215.01511575553508,"100.76808929443,27.679468783136"
