name,score,coordinates
南京总统府景区,13.499999999999995,"118.79515989125,32.060857250176"
海菲德小镇,13.499768600681085,"114.29900360107,22.611200332642"
樱花大道,13.49969187892867,"126.5311884,33.4996213"
樱花大道,13.49969187892867,"126.5311884,33.4996213"
淡水,13.498038040445655,"121.436418,25.1740597"
福州西湖公园,13.49474221568495,"119.287593,26.094111"
重庆中国三峡博物馆,13.45228154572807,"106.547389,29.563001"
中华艺术宫,13.4473463189923,"121.49594296561,31.188438792829"
国家大剧院,13.385932384096586,"116.397693,39.903756"
永福寺,13.296304878201239,"120.100549,30.236875"
武汉大学,13.250794378775256,"114.369896,30.534488"
甲居藏寨,13.242101032780702,"101.867399,30.939693"
澳门博物馆,13.207144551612293,"113.547177,22.194159"
又一城,13.105271850907107,"114.17585738889,22.336923552285"
上野公园,13.083768516520689,"139.77131003174,35.717120557596"
元朗,13.038192384299279,"114.04174203695,22.457214152118"
凤凰古城,13.0,"109.602608,27.949717"
鸡鸣驿,12.993569464369203,"115.314999,40.451181"
一线天景区,12.965631318600119,"117.93818820719,27.626851536192"
白公馆,12.929826698927851,"106.437169,29.574124"
江之岛,12.926773300838141,"139.4810007,35.301279"
樱桃沟,12.867652077817421,"107.77075195312,32.980964660645"
古县衙,12.805340140759375,"112.183453,37.204201"
外滩,12.795975970004255,"121.49975524843,31.239688847721"
翰林公园,12.745479670784931,"126.239687,33.39415"
SOGO崇光百货,12.735166802380775,"114.17218735582,22.297602983054"
郭亮村,12.712828782986962,"113.60440254211,35.731363913727"
大理大学,12.682969392995355,"100.149052,25.679976"
四川博物馆,12.62531313139343,"104.028568,30.660046"
熊猫海,12.61945813445124,"103.87643,33.14889"
乌镇,12.585074537299187,"120.48630894523,30.748217133745"
大报恩寺,12.564126448300886,"118.781778,32.012958"
绝壁长廊,12.483990749618485,"113.62599945068,35.726501464844"
琼台仙谷,12.41829997069228,"121.0104,29.208798"
大阪城公园,12.396321435121553,"135.5269,34.684296"
竹海,12.31474625131622,"119.707865,31.170816705027"
天津之眼,12.304023524292495,"117.190136,39.156019"
心斋桥,12.221366768831524,"135.49360437954,34.675442330837"
水上公园,12.21964531501756,"117.165008,39.094105"
可园,12.194468454014563,"113.748916,23.043051"
松花江,12.194095861051741,"126.617224,45.780631"
五花海,12.145224164639547,"103.883239,33.160325"
大小洞天,12.131864260401015,"109.153365,18.307464"
蒲津渡遗址,12.065276015260661,"110.29137961914,34.84497403644"
天漠,12.056684553321496,"115.716654,40.308035"
花水湾,12.036653128498392,"103.260532,30.563122"
香山寺,12.01309098776802,"112.480006,34.554656"
黄果树瀑布,12.0,"105.669573,25.98952"
玉屏峰,12.0,"118.170777,30.124642"
大理古城,12.0,"100.162465,25.690873"
雷峰夕照,12.0,"120.145395,30.238679"
夫子庙-秦淮风光带,11.999999999999988,"118.788812,32.020726"
断桥残雪,11.999999999858884,"120.148897,30.255397"
环岛路木栈道,11.99999999958663,"118.106292,24.429718"
蒙山国家森林公园,11.999999959524127,"117.97233631231,35.556889738711"
枣园革命旧址,11.999906430335615,"109.42688316931,36.627522882126"
同里古镇,11.999833361573527,"120.722394,31.150329"
金沙滩,11.999631755036736,"120.243331,35.955906"
曲江寒窑遗址公园,11.997605138744373,"108.983332,34.201576"
长空栈道,11.984969676876386,"110.08594751358,34.474952114761"
西开教堂,11.983425470192785,"117.202228,39.124821"
箭竹海,11.981070081824347,"103.873388,33.138337"
静安寺,11.960167605421965,"121.439932,31.207097"
恩施大峡谷,11.953212553593225,"109.173372,30.465503"
海河,11.93495415025038,"117.20700073242,39.110401153564"
白鹭洲公园,11.918002828762292,"118.08729850012,24.459583926591"
延边大学,11.907277545141287,"129.502512,42.910545"
三游洞,11.899609733403489,"111.262917,30.768149"
樱花园,11.880444822070908,"121.55000305176,38.876300811768"
开元寺塔,11.81553152948239,"115.001548,38.50954"
梅溪湖公园,11.791861659827035,"112.934501,28.202981"
海豚湾,11.743380731714018,"57.377861787064,-20.326192195789"
新安江山水画廊,11.731297072593405,"118.61912037354,29.862583860144"
杨梅岭,11.718168634258651,"120.130187,30.208796"
南湖公园,11.647978758688884,"115.99493408203,29.721445083618"
红石峡,11.623644333456866,"113.36520522705,35.429222818812"
塔林,11.57955929814874,"112.94181,34.506044"
信不信由你博物馆,11.563032275179276,"126.412151,33.250346"
佛光岩景区,11.533225231238141,"105.948528,28.400153"
大炮台,11.508259139486064,"113.547292,22.194192"
西塘古镇,11.5,"120.89127,30.944446"
雷峰塔景区,11.5,"120.145395,30.238679"
岳麓山风景名胜区,11.5,"112.940822,28.180393"
宏村风景区,11.499999999999984,"117.989731,30.002837"
漓江漂流,11.496520813255112,"110.454496,24.993032"
辽沈战役纪念馆,11.488902344680836,"121.13229,41.121528"
汉阳造艺术区,11.418091101486109,"114.263852,30.554285"
长桥公园,11.38813013329803,"120.14966392517,30.231611861877"
女神湾,11.350799788478351,"100.8190612793,27.697849273682"
东海渔村,11.347853883648813,"122.52808500525,30.7060812179"
辛亥革命博物馆,11.271704401433865,"114.306334,30.542013"
快雪堂,11.265118777101064,"116.38877,39.928249"
冉庄,11.23827949466764,"115.37189203171,38.672532235533"
钟山,11.145644604616887,"118.843511,32.060404"
昱龙大盆牛蛙馆,11.143070913174707,"112.96940803528,28.19520805383"
老虎海,11.118694639604632,"103.895211,33.194106"
大溪村,11.07867278157796,"119.606499,30.443161"
首义公园,11.077563058446119,"114.306334,30.542013"
清水寺,11.077412006554727,"135.78265131283,34.995491142432"
观前街,11.054681976366801,"120.625454,31.310317"
九寨沟,10.986650581948066,"103.91788864136,33.266838441947"
帝王谷,10.966987913611767,"32.601411479137,25.740162239669"
婺源县城,10.960193997785039,"117.861798,29.248086"
赤坎古镇,10.956082992820916,"112.58849096298,22.320578819873"
黄龙潭,10.87156799517344,"115.955134,29.556849"
一线天,10.86381769412365,"118.09988689422,28.895255737378"
龙鳞宫,10.85662234794868,"109.419858,30.258566"
契迪龙寺,10.854495964451909,"98.990523,18.78799"
含鄱口,10.84352453389832,"115.974609,29.550096"
孤独图书馆,10.749245369774926,"119.321688,39.655241"
黑沙海滩,10.650335542790806,"113.565592,22.1106"
马步芳公馆,10.571029743025461,"101.80230697669,36.613485758904"
南开大学,10.54150961812694,"117.170383,39.110144"
拉德海滩,10.521161881621644,"145.73772,15.10632"
大雁塔北广场音乐喷泉,10.5,"108.96416,34.220806"
皮皮岛（简称“pp岛”）,10.49999999996069,"98.77811,7.745865"
峨眉山风景区,10.499999999943137,"103.44148254395,29.577976226807"
乐山大佛,10.499999999943137,"103.775339,29.541058"
天津博物馆,10.499962567325626,"117.21204,39.08687"
胡里山炮台,10.423151813475087,"118.107815,24.430574"
什刹海,10.416292415479749,"116.386301,39.937195"
津塔,10.365525367958817,"117.202228,39.124821"
火山群,10.340676575405999,"113.646387,40.103426"
归元寺,10.225775423676321,"114.263852,30.554285"
江南长城,10.181746178672707,"121.11414,28.850838"
唐人街,10.147012332723591,"100.49345956085,13.746575"
时代广场,10.14043283834392,"114.18411190675,22.280196726992"
惠山古镇,10.132336895306393,"120.271369,31.580837"
鼓楼,10.123234676143003,"106.28227,38.464219"
香港迪士尼乐园,10.104913262116053,"114.04186623475,22.31335045444"
东大寺,10.06514504470154,"135.83721072999,34.685563981837"
老龙头景区,10.050085166711028,"119.798677,39.970007"
青羊宫,10.041918278142246,"104.033938,30.660684"
西樵山,10.004014969905867,"112.977108,22.929687"
锡惠公园,9.994612861679565,"120.273484,31.580772"
牛头山国家森林公园,9.965155362399381,"119.522062,28.67174"
明清一条街,9.951815397674766,"112.18539428711,37.204391479492"
双林寺,9.923284169975341,"112.131596,37.170715"
金山岭长城,9.873271136943274,"117.24349975586,40.682391405038"
